+,"BIBLExMAN","TangSu&igrave;&#156;&iexcl;","TEEDOG16","Mama Duck","JW","Whale","jinsooo","mesq","@YoungJefe&acirc;&#132;&cent;","Peachy&euml;&deg;&deg;","BenE","Bulbafett &atilde;&#131;&#132;","Eternyte","LunarDarkness","La'Taniana'Bo'Vanashrique Jones","jung","btiger8","BOT EZ","Flux","Kosonati","The Dank Knight","apL csgoroll.com","Bobby B","One Tap Man","Wloos","ProSnake117","Fly1ngF1sh","Who's Zed","Ghost1y","CoolChowlo","Iceman &acirc;&#156;&#136; assembly language dev","ma name is chilly","BezeeR","HellaSack","Nash","Moogs","Fox","PriNcE -SaiyajiN-","mango","bad reg high ping no mic"
"BenE",0.5,0,0,0.5,0,0.0,0,0.0,0.0,0.5,,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bulbafett &atilde;&#131;&#132;",0.5,0,0,0.5,0,0.0,0,0.0,0,0,0,,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eternyte",0.5,0.4,0.3333333333333333,0.14285714285714285,0.5,0.3333333333333333,0.625,0.5555555555555556,0.2222222222222222,0.5714285714285714,0,1.0,,0.6666666666666666,1.0,0.5,0.5,0,1.0,1.0,0.5,0,1.0,0.5,0.0,0,0,0.5,0,0.0,0,0.5,0,0,0,0,0,0,0.0,0.0
"LunarDarkness",0.6666666666666666,0.5,0.25,0.42857142857142855,0.5,0.2857142857142857,0.7,1.0,0.2,0.75,0,1.0,0.6666666666666666,,0.5,0.5,0,0.0,0,0,0,0,0,1.0,0.3333333333333333,0,0,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
"La'Taniana'Bo'Vanashrique Jones",0,0,0.0,0,0,0.0,0.5,1.0,0.3333333333333333,1.0,0,0,1.0,0.5,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
"jung",0.5,0.7272727272727273,0.6666666666666666,0.6,0.75,0.5454545454545454,0.6666666666666666,0.5555555555555556,0.75,0.5555555555555556,1.0,0,0.5,0.5,0.0,,0.6666666666666666,0.0,0.5,0.7142857142857143,0.5,1.0,0,1.0,0.0,0,0,1.0,0.0,0.5,0.5,0,0,0,0,0,0,1.0,0.0,0.0
"btiger8",0,0.6666666666666666,0,0,1.0,0,0,0.5,0,1.0,0,0,0.5,0,0,0.6666666666666666,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOT EZ",0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flux",0.3333333333333333,0.3333333333333333,0,0.0,0,0.5,0.0,0.4,0.0,0.0,0,0,1.0,0,0,0.5,0,0.0,,0.5,0,1.0,0.0,0.0,0.0,0,0,1.0,0,0,0,1.0,0,0,0,0,0,0.0,0,0
"Kosonati",0,1.0,0,0.6666666666666666,0,1.0,1.0,1.0,0,0.0,0,0,1.0,0,0,0.7142857142857143,0,0.0,0.5,,0.6666666666666666,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Dank Knight",0.0,0.0,0,0.0,0,0.5,1.0,0.0,0.0,0.0,0,0,0.5,0,0,0.5,0,0.0,0,0.6666666666666666,,1.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0
"apL csgoroll.com",1.0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
